SLL,SPC,Agree
Observation/Imitation,Observation/Imitation,1
Self,Self,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Self,Self,1
Self,Self,1
Instruction,Instruction,1
Instruction,Instruction,1
Observation/Imitation,Self,0
Instruction,Instruction,1
Observation/Imitation,Instruction,0
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Self,Self,1
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Play,Play,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Self,Self,1
Instruction,Instruction,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Self,0
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Instruction,Instruction,1
Self,Self,1
Instruction,Instruction,1
Self,Self,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Self,Self,1
Self,Self,1
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Self,0
Self,Self,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Self,Self,1
Self,Self,1
Self,Self,1
Observation/Imitation,Self,0
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Instruction,Instruction,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Observation/Imitation,Observation/Imitation,1
Instruction,Instruction,1
Self,Self,1
Observation/Imitation,Observation/Imitation,1
