Subj,Ethnicity,Village,Gender,Order,share,CODE
10BDMA,Bandongo,Village1,M,3,intra,School
6ByaH,BaYaka,Village1,M,4,intra,School
6ByaH,BaYaka,Village1,M,5,intra,Church
1BDAHL,Bandongo,Village2,M,3,intra,Peer
9BDAHL,Bandongo,Village2,M,3,intra,Peer
ByaF11,BaYaka,Village1,F,3,intra,Peer
10BDMA,Bandongo,Village1,M,4,intra,Work
1ByaH,BaYaka,Village1,M,4,intra,Bantu
5ByaH,BaYaka,Village1,M,4,intra,Bantu
8ByaH,BaYaka,Village1,M,4,intra,Bantu
2BDAHL,Bandongo,Village2,M,3,intra,Peer
4BDAHL,Bandongo,Village2,M,3,intra,Peer
2BDAHL,Bandongo,Village2,M,5,intra,School
5BDAHL,Bandongo,Village2,M,3,intra,School
9BDAFL,Bandongo,Village2,F,2,intra,Church
8BDAHL,Bandongo,Village2,M,3,intra,Family
08BDMA,Bandongo,Village1,M,3,intra,Family
08BDMA,Bandongo,Village1,M,5,intra,Spouse
36BDFA,Bandongo,Village1,F,5,intra,Brother
5ByaH,BaYaka,Village1,M,2,intra,Brother
4ByaH,BaYaka,Village1,M,3,intra,Peer
ByaF15,BaYaka,Village1,F,3,intra,Peer
1ByaHL,BaYaka,Village2,M,3,intra,Peer
ByaF12,BaYaka,Village1,F,2,intra,Peer
ByaF19,BaYaka,Village1,F,3,intra,Peer
08BDMA,Bandongo,Village1,M,4,intra,Brother
ByaF12,BaYaka,Village1,F,4,intra,Grandmother
9BDFA,Bandongo,Village1,F,2,intra,Grandmother
2ByaFL,BaYaka,Village2,F,3,intra,Sister
30BDFA,Bandongo,Village1,F,4,intra,Brother
2BDMA,Bandongo,Village1,M,5,intra,Brother
ByaF15,BaYaka,Village1,F,2,intra,Grandmother
ByaF14,BaYaka,Village1,F,2,intra,Grandmother
2BDMA,Bandongo,Village1,M,4,intra,Grandmother
1ByaHL,BaYaka,Village2,M,4,intra,Grandfather
36BDFA,Bandongo,Village1,F,6,intra,Sister
6BDAFL,Bandongo,Village2,F,2,intra,Grandmother
31BDFA,Bandongo,Village1,F,3,intra,Sister
8ByaH,BaYaka,Village1,M,3,intra,Peer
ByaF11,BaYaka,Village1,F,2,intra,Peer
10BDMA,Bandongo,Village1,M,2,intra,Church
2BDMA,Bandongo,Village1,M,6,intra,Church
34BDFA,Bandongo,Village1,F,2,intra,In-Law
